status,closing_reason,closing_date,capacity,short_id,id,fee_rate,node,closing_tx,total_fee
2,1,1666022286,2000000,743738x1068x0,817748579088859136,10,Wallet_Of_Satoshi,fb72241b39b8942e225d8dfa28bd8b96aad0690715ead5e82c628a441ae66e0f,1503
2,1,1666018126,15000000,758991x849x6,834519429932974086,0,Wallet_Of_Satoshi,179d67841e9f242a7b429cee61f1b79e34440c07d4a7b407c1c3b18d5cddb5a5,1233
2,2,1666000315,1064491,743611x1174x0,817608941119078400,200,Wallet_Of_Satoshi,b2f6ae74a9038ad7de6d1fe673ad439c11973e3959758572a551c0a616abd348,1946
2,2,1665999855,2000000,691924x1140x0,760778483611992064,200,Wallet_Of_Satoshi,37aaf7e3e58619e632f517a759ed89d76bc5d7b47322ad0d0ea0ad58f7003af7,3756
2,2,1665995974,800000,705446x2380x1,775646079924043777,700,Wallet_Of_Satoshi,bfd724021ed06a4c3f512c65ed59475cc6d55699030aa040571a679f988d5aec,4791
2,1,1665982371,5100000,758143x1178x1,833587044094181377,1000,Wallet_Of_Satoshi,5e72a56da416d4b0d12970e48e488dca2d305c41dd5673a5a458c1b5425d7ae9,1057
2,2,1665980534,5000000,738950x1542x1,812484117446131713,0,Wallet_Of_Satoshi,d9c3c3fec12e32cc748d0fda7f45a6ba57f03332033e56664da56c210e40773b,2853
2,2,1665977893,30303333,758534x1501x1,834016953161809921,0,Wallet_Of_Satoshi,904897cac79b9422a0f03016864a83654547358e43ba8697969a9ce4bdb940fa,4593
2,2,1665972842,10010000,750147x1625x1,824795349147779073,0,Wallet_Of_Satoshi,872c261c3c682fdbd15acfb4431a8fcbf2d60be8fece87ea40e6c348ced9fa6b,2922
2,1,1665966711,1000000,727179x2222x1,799541766120144897,0,Wallet_Of_Satoshi,638576b55db41289c0f4c249ff891db244961da1c4e5725e686a4160b796f79d,456
2,1,1665963085,3000000,754873x771x1,829991641044680705,10,Wallet_Of_Satoshi,223bdcfc224f4f811974cdcaf5c74a271854e86e78bceee6eaf7778ae057291d,747
2,2,1665960103,3000000,748598x982x1,823092205594214401,0,Wallet_Of_Satoshi,f1863b664e6870566356442da369aeb9cc565191d7753e49ae9ef2ca72dc98e5,3849
2,1,1665960103,99739186,756775x1892x0,832082912234176512,10,Wallet_Of_Satoshi,2e9cbee8a1506f3709982c1a7536796547606c809ce03c442e39b7ae5e1d7e37,501
2,1,1665959471,150000000,757056x744x0,832391874926346240,0,Wallet_Of_Satoshi,05279381dbef77967534c3040fd7a8bf8d40fcc1e854c46f9fc5056aa9ad9a48,875
2,1,1665959215,50000000,757275x2374x1,832632668079652865,0,Wallet_Of_Satoshi,f06d56659925df3a94223df26b4c59d24c4f78e2a4d007fcc9c462ab2c230ccd,1186
2,1,1665959215,50000000,757276x1360x1,832633767524827137,0,Wallet_Of_Satoshi,b0e901bb5e87d08c9ab8590fb1a2def99e965ec761119be3024a411e54bc59a1,1186
2,1,1665959215,50000000,757598x2258x1,832987810327822337,0,Wallet_Of_Satoshi,579a43ec497b433e66c9cac01c618240caaf023a9c0e2c63e3e156d30a4c4489,1186
2,1,1665959215,50000000,758313x1198x1,833773961072214017,0,Wallet_Of_Satoshi,44c83afa4b918adc9770053182602a0f2a9c896e1649e2301dd852593add3db8,1186
2,1,1665959215,50000000,758439x576x1,833912499496550401,0,Wallet_Of_Satoshi,6a6d5fba98280150b06c209bd26de5debd5b5ea007c552627848da372ebf7a56,1186
2,1,1665959215,50000000,758439x579x1,833912499496747009,0,Wallet_Of_Satoshi,8e18ddb233d3743dbbedff97850da49eff7850787f1fb40c721cc36591cac3fc,1186
2,1,1665959215,50000000,758597x1262x1,834086222378696705,0,Wallet_Of_Satoshi,05a035e1d3363d3d3ad2b1ac717660b791a0e14585b557ea1343bb54fda9e6f3,1186
2,1,1665959215,30303333,757417x1599x0,832788798680006656,0,Wallet_Of_Satoshi,51a03b7176a38a89c6e74fcf490cf6ad69331f3dee59dfe2baccbe19a184a090,1186
2,1,1665959215,30303333,757638x549x1,833031790680932353,0,Wallet_Of_Satoshi,7542099a3452623a83de6cf1df66ab140ee13bb167cd89ad882b59c1a07772be,1186
2,1,1665959215,30303333,758420x898x0,833891608796725248,0,Wallet_Of_Satoshi,c7dc72b8a05e898ae7778a379302aa0de2916407752d4f39035443e319a41157,1186
2,1,1665959215,30303333,758436x1619x1,833909201030021121,0,Wallet_Of_Satoshi,d54599ccaf7243c534eb0e7aaacc6369e0a162062b8555e84aa5d4d816a93359,1186
2,1,1665959215,50000000,758473x2119x1,833949882993016833,0,Wallet_Of_Satoshi,12db2f5cbd06b15548c3813b8f328d3ddbde5b1d36e35115cfb9354925675038,1186
2,1,1665959215,30303333,758628x179x0,834120307168182272,0,Wallet_Of_Satoshi,289e6af5d53dba92f8ca9f374bf8eaf377a9d9042d65ad523d45f5d60f4f76d1,1186
2,1,1665959215,30303333,758628x195x1,834120307169230849,0,Wallet_Of_Satoshi,d9ef5b7c08db68deeb3343d0cff81deca3d5daa96c0fb0ef298a75f94274de83,1186
2,1,1665959215,30303333,758634x389x0,834126904251711488,0,Wallet_Of_Satoshi,70a47c5ffbedf85c7cd7301bcbfbdde3524f7bf77c2833a18f3e68fc1b0b0f0b,1186
2,1,1665959215,30303333,758743x724x1,834246751041093633,0,Wallet_Of_Satoshi,b34c589d3b887beb68b6f4bb912182b49a6350277e2f1d8d33df275d5cd7c23b,1186
2,1,1665959215,30303333,758749x3146x0,834253348269588480,0,Wallet_Of_Satoshi,d75cb7a4cc5fb397330d59bcbc564653da87c4423e13bdc486402eeaa15adc5c,1186
2,1,1665959215,30303333,758754x1479x0,834258845718478848,0,Wallet_Of_Satoshi,16abf0081db67f9325b374693766960550eaa5fffee4bf95f14f2fd900cc922b,1186
2,1,1665959215,30303333,758758x3428x1,834263243892719617,0,Wallet_Of_Satoshi,265d4eaaf69eb6f748cf31d1cb6741ab5772ecec9e2abcc2298074f15c8bda7c,1186
2,1,1665959215,30303333,758785x2318x0,834292930633924608,0,Wallet_Of_Satoshi,73c19bf8c93a41b5a43a960f242ef8c4f3c49c5a0f5235797c6026ccd106d16c,1186
2,1,1665958620,200000000,758508x192x2,833988365773701122,0,Wallet_Of_Satoshi,1cc367c9ee3a6323e4ab03bbf068e70f87e347a107b9130755094e52ceb6e541,1186
2,1,1665958620,200000000,758627x482x0,834119207676411904,0,Wallet_Of_Satoshi,f7951d9611ba40ba1c1f945eac0914c6dcfcd339872ca4764fc28ee050fb02a7,1186
2,1,1665958620,200000000,758401x1381x0,833870718107451392,0,Wallet_Of_Satoshi,7df20ec0c8f8cff7fc3be50d54be3f94fd670d6e447261dd450914b8630cdf24,1186
2,1,1665955175,15000000,757400x539x1,832770106912866305,200,Wallet_Of_Satoshi,d037783b5b14a55da638c435e563f595cb7b328216c66282717c5e378023c939,692
2,1,1665948968,2020000,758970x747x1,834496340182106113,200,Wallet_Of_Satoshi,96871f02fbfcd19cc4f4b6ce7d6937aa69ed308368d0df09afa44289305850f5,1054
2,1,1665945071,1000000,757517x2096x1,832898749875355649,1000,Wallet_Of_Satoshi,1d3e0fa323e76f005ffd0b4e670e501dade35b930a743fb960e050ea578eb978,377
2,1,1665942795,500000,734431x1177x1,807515424376291329,0,Wallet_Of_Satoshi,8c8503b84dc8e7c59445ec4268b610bd093ff202ab58c8c60f9322a66a122119,565
2,2,1665928879,5000000,750773x1752x1,825483643435089921,350,Wallet_Of_Satoshi,3998de1e9fa6a61287646b6e94d52dfc646fbfeea1060d389051d7bf82fb91c2,16772
2,1,1665927787,2000000,745413x274x0,819590261013348352,700,Wallet_Of_Satoshi,c07e5f930ed68de5f731e6df49f12e2b6f795defc2acb9053c65b5dac83f77fc,378
2,2,1665888969,500000,749736x534x0,824343449797263360,0,Wallet_Of_Satoshi,4d42df31e3c9426073e0215a83cfa79fad4fa9747b1b8e93349e01f57293733a,3726
2,2,1665886252,100000000,758276x2175x1,833733279206014977,200,Wallet_Of_Satoshi,0c6cf7824cf0daccd092fe78b1115864d543319b669eb9ef8d8f7ff1ca3bed6a,4558
2,2,1665882524,30303333,758534x2439x1,834016953223282689,0,Wallet_Of_Satoshi,bb27f5b26ab8346acd48180995c4097f44002ddcbe581d56d33f96ffb9de9412,4521
2,1,1665872092,1000000,754109x570x1,829151614147887105,200,Wallet_Of_Satoshi,455d9e15367b6126e13acf70be98e37dada5880d5a7185250e91a34605ae5a22,456
2,1,1665862632,3000000,732618x2071x1,805522009853722625,0,Wallet_Of_Satoshi,5d694add62272994585ff779fda8a9a462b65a216ed109f227d9ef13d329a6ff,566
